full_name,name,owner,html_url,description,created_at,updated_at,pushed_at,size,language,forks_count,stargazers_count,subscribers_count,watchers_count,network_count,archived,total_lines,langs_percentage,issues_count,closed_issues_count,open_issues_count,total_issues_count,closed_pulls_count,open_pulls_count,total_pulls_count,merged_pulls_count,commits_count,first_commit_date,last_commit_date,branches_count,topics,contributors_count
googlesamples/android-play-games-in-motion,android-play-games-in-motion,googlesamples,https://github.com/googlesamples/android-play-games-in-motion,,2015-04-16 23:42:47+00:00,2024-08-01 23:09:40+00:00,2015-08-30 03:45:33+00:00,2223,Java,49,152,26,152,49,True,233049,{'Java': '100.00%'},2,1,1,2,0,0,0,0,6,2015-04-11 05:01:50+00:00,2015-04-30 19:19:37+00:00,1,(),1
googlesamples/android-PermissionRequest,android-PermissionRequest,googlesamples,https://github.com/googlesamples/android-PermissionRequest,,2014-12-15 19:50:35+00:00,2023-05-27 04:14:44+00:00,2018-02-16 00:37:37+00:00,838,Java,46,95,24,95,46,True,59795,"{'Java': '93.53%', 'JavaScript': '3.60%', 'CSS': '1.45%', 'HTML': '1.43%'}",3,0,3,3,0,0,0,0,21,2014-12-15 19:50:35+00:00,2018-02-16 00:37:34+00:00,1,(),1
googlesamples/dcp-parser-go,dcp-parser-go,googlesamples,https://github.com/googlesamples/dcp-parser-go,,2015-04-15 02:56:21+00:00,2024-03-17 13:19:19+00:00,2015-04-20 17:38:20+00:00,115,Go,10,9,8,9,10,True,39914,{'Go': '100.00%'},0,0,0,0,0,0,0,0,5,2015-03-20 23:46:09+00:00,2015-04-20 17:35:27+00:00,1,(),1
googlesamples/identity-toolkit-django,identity-toolkit-django,googlesamples,https://github.com/googlesamples/identity-toolkit-django,,2014-12-16 23:46:04+00:00,2023-01-27 22:48:55+00:00,2015-08-02 02:26:29+00:00,156,,9,2,16,2,9,True,0,{},1,1,0,1,1,0,1,0,1,2014-12-16 23:46:04+00:00,2014-12-16 23:46:04+00:00,1,(),1
googlesamples/identity-toolkit-ruby,identity-toolkit-ruby,googlesamples,https://github.com/googlesamples/identity-toolkit-ruby,,2014-07-18 18:20:43+00:00,2023-01-27 22:48:55+00:00,2015-08-31 19:34:44+00:00,137,HTML,12,4,16,4,12,True,3780,"{'HTML': '52.57%', 'Ruby': '47.43%'}",3,3,0,3,3,0,3,3,7,2014-07-24 03:23:33+00:00,2015-08-31 19:34:44+00:00,1,(),5
googlesamples/cloud-polymer-go,cloud-polymer-go,googlesamples,https://github.com/googlesamples/cloud-polymer-go,"Sample App Engine application with Go, Cloud Endpoints, and Polymer",2015-03-21 01:27:26+00:00,2024-04-29 21:35:31+00:00,2015-12-04 05:18:27+00:00,21,HTML,33,118,15,118,33,True,17825,"{'HTML': '73.78%', 'Go': '26.22%'}",9,5,4,9,3,1,4,2,12,2015-03-21 01:03:07+00:00,2015-12-04 05:17:59+00:00,2,(),3
googlesamples/identity-toolkit-php,identity-toolkit-php,googlesamples,https://github.com/googlesamples/identity-toolkit-php,,2014-07-18 18:20:49+00:00,2023-01-27 22:33:40+00:00,2017-11-14 12:48:31+00:00,176,PHP,24,15,20,15,24,True,831,{'PHP': '100.00%'},6,5,1,6,3,1,4,3,8,2014-07-19 00:20:51+00:00,2015-07-01 04:38:20+00:00,2,(),4
googlesamples/identity-toolkit-node,identity-toolkit-node,googlesamples,https://github.com/googlesamples/identity-toolkit-node,,2014-10-16 18:53:13+00:00,2024-05-21 06:22:31+00:00,2016-08-03 19:00:33+00:00,21,JavaScript,19,29,18,29,19,True,8647,"{'JavaScript': '83.91%', 'HTML': '16.09%'}",8,7,1,8,5,0,5,5,17,2014-10-16 18:53:13+00:00,2016-08-03 18:58:10+00:00,1,(),7
googlesamples/identity-toolkit-java,identity-toolkit-java,googlesamples,https://github.com/googlesamples/identity-toolkit-java,,2014-07-18 18:19:18+00:00,2024-04-16 22:52:50+00:00,2015-12-21 22:44:47+00:00,6543,Java,24,23,23,23,24,True,6144,"{'Java': '78.16%', 'HTML': '21.84%'}",6,4,2,6,4,1,5,4,10,2014-07-19 03:27:51+00:00,2015-12-21 22:44:25+00:00,1,(),5
googlesamples/io2014-codelabs,io2014-codelabs,googlesamples,https://github.com/googlesamples/io2014-codelabs,Google I/O 2014 Codelabs,2014-06-14 01:43:21+00:00,2023-01-27 22:48:55+00:00,2015-08-30 03:40:54+00:00,3870,Java,56,177,29,177,56,True,766343,"{'Java': '77.74%', 'JavaScript': '10.70%', 'Go': '5.35%', 'CSS': '2.45%', 'Dart': '2.32%', 'Groovy': '1.45%'}",23,17,6,23,3,3,6,2,15,2014-06-25 07:44:19+00:00,2014-08-08 21:16:38+00:00,1,(),5
googlesamples/android-AppUsageStatistics,android-AppUsageStatistics,googlesamples,https://github.com/googlesamples/android-AppUsageStatistics,,2014-12-15 19:49:51+00:00,2024-07-25 21:09:57+00:00,2021-06-23 08:09:08+00:00,808,Java,115,366,46,366,115,False,20961,{'Java': '100.00%'},19,5,14,19,1,6,7,0,22,2014-12-15 19:49:52+00:00,2021-02-27 21:00:59+00:00,1,(),2
googlesamples/identity-toolkit-ios,identity-toolkit-ios,googlesamples,https://github.com/googlesamples/identity-toolkit-ios,,2014-07-18 18:20:51+00:00,2023-01-28 12:59:55+00:00,2015-08-06 20:38:16+00:00,7261,Objective-C,17,14,20,14,17,True,20556,"{'Objective-C': '99.56%', 'Ruby': '0.44%'}",11,8,3,11,7,1,8,7,17,2014-07-19 00:22:45+00:00,2015-08-06 20:38:14+00:00,1,(),5
googlesamples/identity-toolkit-go,identity-toolkit-go,googlesamples,https://github.com/googlesamples/identity-toolkit-go,Identity toolkit sample code for Go,2014-10-01 18:03:36+00:00,2024-07-09 09:48:48+00:00,2016-05-25 03:48:55+00:00,35,Go,31,25,19,25,31,True,23192,"{'Go': '98.59%', 'Shell': '1.41%'}",13,9,4,13,8,1,9,7,25,2014-10-01 18:45:57+00:00,2016-04-14 19:18:22+00:00,1,(),7
googlesamples/web-fundamentals,web-fundamentals,googlesamples,https://github.com/googlesamples/web-fundamentals,Google Web Fundamentals,2014-05-13 22:08:22+00:00,2024-07-19 03:15:02+00:00,2020-12-04 17:51:23+00:00,69887,HTML,201,309,48,309,201,False,420286,"{'HTML': '92.67%', 'JavaScript': '3.94%', 'CSS': '3.39%'}",10,7,3,10,7,3,10,3,76,2014-09-09 18:00:44+00:00,2020-12-04 17:51:06+00:00,3,(),7
googlesamples/brillo-dragonboard-jacksmart,brillo-dragonboard-jacksmart,googlesamples,https://github.com/googlesamples/brillo-dragonboard-jacksmart,,2016-02-09 10:33:17+00:00,2021-05-23 22:51:49+00:00,2021-01-22 21:12:33+00:00,2665,,14,12,7,12,14,False,0,{},2,2,0,2,1,0,1,1,6,2016-02-16 19:26:02+00:00,2021-01-22 21:12:16+00:00,1,(),1
googlesamples/snippets,snippets,googlesamples,https://github.com/googlesamples/snippets,Hosting for miscellaneous code snippets,2016-03-23 07:37:29+00:00,2023-07-12 02:03:19+00:00,2016-03-23 07:45:57+00:00,11,,9,2,6,2,9,True,0,{},0,0,0,0,0,0,0,0,3,2016-03-11 06:52:34+00:00,2016-03-23 07:45:27+00:00,1,(),1
googlesamples/io2015-codelabs,io2015-codelabs,googlesamples,https://github.com/googlesamples/io2015-codelabs,codelabs for Google I/O 2015,2015-05-20 02:41:51+00:00,2024-07-19 22:04:14+00:00,2020-09-30 12:55:30+00:00,182515,Java,165,517,50,517,165,True,1613196,"{'Java': '42.63%', 'JavaScript': '34.32%', 'Objective-C': '18.15%', 'HTML': '3.11%', 'CSS': '0.70%', 'Go': '0.68%', 'Python': '0.23%', 'Protocol Buffer': '0.14%', 'Ruby': '0.02%'}",163,49,114,163,5,4,9,3,93,2015-05-20 01:31:49+00:00,2016-06-26 11:36:24+00:00,2,(),14
googlesamples/onetwoseven,onetwoseven,googlesamples,https://github.com/googlesamples/onetwoseven,Programmers debugging web server.,2016-04-08 03:46:43+00:00,2023-01-27 22:42:32+00:00,2017-01-04 15:14:56+00:00,4,Go,8,16,5,16,8,True,3528,{'Go': '100.00%'},0,0,0,0,0,0,0,0,5,2016-03-02 20:15:49+00:00,2017-01-04 15:14:55+00:00,1,(),1
googlesamples/ios-nearby,ios-nearby,googlesamples,https://github.com/googlesamples/ios-nearby,,2015-08-18 22:44:41+00:00,2024-07-23 07:32:35+00:00,2018-09-19 21:44:06+00:00,43,Objective-C,30,68,19,68,30,True,39447,"{'Objective-C': '78.90%', 'Swift': '20.33%', 'Ruby': '0.77%'}",50,17,33,50,7,0,7,7,31,2015-07-07 20:06:08+00:00,2018-09-19 21:43:26+00:00,2,(),3
googlesamples/androidtv-sample-inputs,androidtv-sample-inputs,googlesamples,https://github.com/googlesamples/androidtv-sample-inputs,Sample Channel App (TV Input Service) on Android TV using TIF,2014-11-20 22:18:21+00:00,2024-08-07 12:22:17+00:00,2024-01-01 13:20:20+00:00,24208,Java,238,487,73,487,238,False,538170,{'Java': '100.00%'},68,24,44,68,2,8,10,0,216,2014-11-21 00:33:20+00:00,2019-02-20 18:10:40+00:00,1,(),10
googlesamples/android-play-publisher-api,android-play-publisher-api,googlesamples,https://github.com/googlesamples/android-play-publisher-api,,2014-07-03 01:26:35+00:00,2024-06-17 19:59:05+00:00,2023-04-13 11:24:34+00:00,30,Java,286,491,56,491,286,True,45818,"{'Java': '65.85%', 'Python': '34.15%'}",76,30,46,76,10,4,14,7,19,2014-07-16 12:59:28+00:00,2023-04-13 11:24:34+00:00,1,(),8
googlesamples/Firebase-Plays-GCP-2016,Firebase-Plays-GCP-2016,googlesamples,https://github.com/googlesamples/Firebase-Plays-GCP-2016,,2016-09-19 19:14:45+00:00,2023-01-27 22:33:41+00:00,2017-12-14 18:31:03+00:00,1005,JavaScript,19,14,9,14,19,True,30099,"{'JavaScript': '65.43%', 'HTML': '34.57%'}",1,1,0,1,1,0,1,1,3,2016-09-22 02:51:36+00:00,2017-12-14 18:31:02+00:00,1,(),1
googlesamples/android-testing-templates,android-testing-templates,googlesamples,https://github.com/googlesamples/android-testing-templates,,2015-02-24 01:57:36+00:00,2024-07-27 05:16:44+00:00,2022-11-15 07:59:11+00:00,167,Java,303,1960,130,1960,303,False,50364,"{'Java': '51.78%', 'Kotlin': '47.04%', 'Prolog': '1.18%'}",39,30,9,39,14,4,18,6,28,2015-08-03 19:35:56+00:00,2018-02-09 14:49:54+00:00,4,(),5
googlesamples/ios-vision,ios-vision,googlesamples,https://github.com/googlesamples/ios-vision,,2016-12-03 01:33:41+00:00,2024-07-23 07:32:29+00:00,2017-11-03 11:43:22+00:00,435,Objective-C,40,93,21,93,40,True,96008,"{'Objective-C': '99.58%', 'Ruby': '0.42%'}",36,5,31,36,0,3,3,0,2,2016-09-06 22:22:40+00:00,2017-05-16 01:47:49+00:00,1,(),2
googlesamples/testloopmanager,testloopmanager,googlesamples,https://github.com/googlesamples/testloopmanager,,2017-05-11 11:18:43+00:00,2021-05-04 07:35:59+00:00,2019-10-08 22:57:15+00:00,177,Java,15,8,13,8,15,False,27162,{'Java': '100.00%'},4,3,1,4,3,1,4,1,7,2017-03-13 18:25:56+00:00,2019-10-02 19:30:01+00:00,1,(),2
googlesamples/mugo,mugo,googlesamples,https://github.com/googlesamples/mugo,Sample on how to transpile a small subset of go to Arduino sketches,2016-05-03 19:52:41+00:00,2023-12-10 16:40:02+00:00,2016-07-10 22:34:44+00:00,26,Go,16,47,9,47,16,True,13709,"{'Go': '94.76%', 'Arduino': '5.24%'}",17,9,8,17,8,2,10,6,19,2016-05-03 19:51:38+00:00,2016-06-11 06:37:14+00:00,4,(),2
googlesamples/android-TensorFlowCloudMachineLearningEngineStylizer,android-TensorFlowCloudMachineLearningEngineStylizer,googlesamples,https://github.com/googlesamples/android-TensorFlowCloudMachineLearningEngineStylizer,,2018-02-21 16:36:37+00:00,2023-12-09 00:28:26+00:00,2018-02-26 21:44:13+00:00,4115,Java,9,14,10,14,9,True,56655,{'Java': '100.00%'},0,0,0,0,0,0,0,0,2,2017-08-22 23:14:52+00:00,2017-08-29 03:27:09+00:00,1,(),1
googlesamples/android-play-safetynet,android-play-safetynet,googlesamples,https://github.com/googlesamples/android-play-safetynet,Samples for the Google SafetyNet Attestation API,2016-10-28 02:01:41+00:00,2024-08-06 23:25:12+00:00,2022-07-27 07:20:18+00:00,409,Java,133,287,28,287,133,True,75707,"{'Java': '71.98%', 'C#': '28.02%'}",35,11,24,35,4,5,9,2,26,2016-08-17 04:48:11+00:00,2022-07-27 06:13:59+00:00,2,"('android', 'java', 'play-services', 'safetynet-api', 'security', 'verification', 'verify')",5
googlesamples/oauth-apps-for-windows,oauth-apps-for-windows,googlesamples,https://github.com/googlesamples/oauth-apps-for-windows,OAuth for Apps: Samples for Windows,2016-06-29 18:24:11+00:00,2024-08-07 08:11:15+00:00,2024-01-06 16:42:14+00:00,71,C#,184,462,39,462,184,False,47189,{'C#': '100.00%'},13,3,10,13,3,10,13,2,8,2016-07-01 21:36:55+00:00,2022-03-04 22:28:10+00:00,3,(),3
googlesamples/assistant-sdk-nodejs,assistant-sdk-nodejs,googlesamples,https://github.com/googlesamples/assistant-sdk-nodejs,,2018-05-07 21:27:51+00:00,2024-05-04 11:23:15+00:00,2018-11-27 19:33:01+00:00,14,JavaScript,27,93,13,93,27,False,4574,{'JavaScript': '100.00%'},14,8,6,14,1,0,1,1,7,2017-12-14 22:07:46+00:00,2018-11-27 19:33:00+00:00,1,(),2
googlesamples/arcore-lightboard,arcore-lightboard,googlesamples,https://github.com/googlesamples/arcore-lightboard,,2018-05-10 05:39:16+00:00,2024-08-06 23:25:12+00:00,2018-11-19 07:51:38+00:00,85724,C#,32,97,11,97,32,True,757564,"{'C#': '94.02%', 'ShaderLab': '4.88%', 'Python': '1.03%', 'Objective-C++': '0.07%'}",1,0,1,1,0,0,0,0,3,2018-05-10 05:44:50+00:00,2018-11-19 07:51:37+00:00,1,"('android', 'arcore', 'arkit', 'ios', 'unity3d')",2
